天气类型
晴
⼤部晴朗
多云
少云
阴
阵⾬
局部阵雨
⼩阵雨
强阵雨
阵雪
⼩阵雪
雾
冻雾
沙尘暴
浮尘
尘卷⻛
扬沙
强沙尘暴
霾
雷阵⾬
雷电
雷暴
雷阵⾬伴有冰雹
冰雹
冰针
冰粒
⾬夹雪
⼩雨
中⾬
⼤雨
暴雨
⼤暴雨
特⼤暴雨
⼩雪
中雪
⼤雪
暴雪
冻⾬
雪
⾬
⼩到中雨
中到⼤雨
⼤到暴雨
⼩到中雪
